area,prov,dist,area_name,rowtotal,a_TapPiped1,b_TapPiped2,c_Tubewell,d_CoveredWell,e_UncoverWell,f_Spoutwater,g_RiverStream,h_JarBottle,i_Others
10,0,0,"Nepal",6660841,2302425,1489539,1984599,102183,141755,261877,24638,308387,45438
21,0,0,"Urban Munipalities",4474699,1646861,778955,1356773,83954,99231,154948,12923,304617,36437
22,0,0,"Rural Municipalities",2186142,655564,710584,627826,18229,42524,106929,11715,3770,9001
31,0,0,"Mountain",409260,147465,208570,169,1971,4789,42411,2904,134,847
32,0,0,"Hill",2945030,1294022,956625,63516,54151,78592,176434,16129,285145,20416
33,0,0,"Tarai",3306551,860938,324344,1920914,46061,58374,43032,5605,23108,24175
40,1,0,"Province-1",1190755,407488,239425,477138,9972,19589,26396,2720,4816,3211
40,2,0,"Madhesh",1156383,177156,84653,830219,8062,25966,13857,729,2252,13489
40,3,0,"Bagmati",1567917,687179,378234,75616,35637,42660,62361,4607,264204,17419
40,4,0,"Gandaki",661632,347068,215225,11304,7785,10289,45517,2470,20233,1741
40,5,0,"Lumbini",1141345,431482,223868,374340,29780,26159,29600,4432,15128,6556
40,6,0,"Karnali",366037,130363,162451,1953,7570,9193,48675,4274,480,1078
40,7,0,"Sudur Paschim",576772,121689,185683,214029,3377,7899,35471,5406,1274,1944
50,1,1,"Taplejung",27776,14125,12641,37,37,219,536,75,24,82
50,1,2,"Sankhuwasabha",39118,15067,15728,17,792,906,6179,329,36,64
50,1,3,"Solukhumbu",26239,15231,9658,5,105,208,926,60,10,36
50,1,4,"Okhaldhunga",34286,12197,19103,62,237,599,1690,333,32,33
50,1,5,"Khotang",41720,18587,18380,122,505,1461,2316,177,113,59
50,1,6,"Bhojpur",38580,20336,13863,72,478,898,2783,109,7,34
50,1,7,"Dhankuta",37616,19942,14710,69,389,1057,1249,126,24,50
50,1,8,"Terhathum",21845,13646,6692,26,135,300,992,30,2,22
50,1,9,"Panchthar",42437,18090,21904,70,222,815,1031,212,19,74
50,1,10,"Ilam",70501,31040,29372,4233,554,2527,1891,509,126,249
50,1,11,"Jhapa",245019,76423,21762,139206,2725,2893,1070,84,333,523
50,1,12,"Morang",272160,55617,17467,190524,716,1172,1730,125,3567,1242
50,1,13,"Sunsari",212407,72378,17371,117348,750,1226,2160,224,398,552
50,1,14,"Udayapur",81051,24809,20774,25347,2327,5308,1843,327,125,191
50,2,15,"Saptari",146816,4645,2090,137164,588,1084,207,63,212,763
50,2,16,"Siraha",148549,15059,8262,116759,1535,4074,689,285,378,1508
50,2,17,"Dhanusa",177091,20645,6999,133378,1913,10412,1529,114,542,1559
50,2,18,"Mahottari",137886,27631,14070,87192,1015,2137,2231,47,94,3469
50,2,19,"Sarlahi",164824,29231,13100,111407,1625,5747,1289,85,406,1934
50,2,20,"Rautahat",137025,26285,10463,94793,714,778,1899,87,229,1777
50,2,21,"Bara",131179,30070,16069,79496,456,1006,2622,21,78,1361
50,2,22,"Parsa",113013,23590,13600,70030,216,728,3391,27,313,1118
50,3,23,"Dolakha",49493,20396,25551,10,160,741,2433,121,11,70
50,3,24,"Sindhupalchok",71697,23075,40263,59,183,1250,6496,205,38,128
50,3,25,"Rasuwa",11131,4132,6288,16,10,78,537,45,0,25
50,3,26,"Dhading",83622,32324,39111,269,515,1751,8884,485,172,111
50,3,27,"Nuwakot",68646,24059,36052,190,858,1487,5549,263,106,82
50,3,28,"Kathmandu",542892,247633,50171,14185,12116,6243,12384,602,190687,8871
50,3,29,"Bhaktapur",108406,54340,12255,2194,5971,2872,2965,51,25999,1759
50,3,30,"Lalitpur",140130,61837,16884,868,3491,3340,3875,184,44242,5409
50,3,31,"Kavrepalanchok",91330,39766,33115,301,4173,4082,7420,579,1605,289
50,3,32,"Ramechhap",46466,20099,22110,156,407,1315,1778,544,8,49
50,3,33,"Sindhuli",69317,21845,25356,3173,3717,10107,4003,480,547,89
50,3,34,"Makwanpur",105620,46807,40252,5869,1621,6283,3859,628,93,208
50,3,35,"Chitawan",179167,90866,30826,48326,2415,3111,2178,420,696,329
50,4,36,"Gorkha",71729,28578,26279,120,757,1418,14124,275,77,101
50,4,37,"Manang",1547,973,545,1,0,2,24,1,0,1
50,4,38,"Mustang",3606,2034,1217,1,23,9,198,116,1,7
50,4,39,"Myagdi",28766,10371,15715,24,23,128,2343,111,18,33
50,4,40,"Kaski",160416,105363,25311,247,734,1113,7961,412,18587,688
50,4,41,"Lamjung",44074,29153,11195,56,87,446,2648,332,86,71
50,4,42,"Tanahu",88513,45817,30425,152,2038,3218,5609,407,668,179
50,4,43,"Nawalparasi (Bardaghat Susta East)",93850,56729,18316,10233,3533,2132,2182,269,103,353
50,4,44,"Syangja",68923,29200,32422,337,465,955,5166,201,24,153
50,4,45,"Parbat",36112,18979,14963,35,39,337,1667,30,7,55
50,4,46,"Baglung",64096,19871,38837,98,86,531,3595,316,662,100
50,5,47,"Rukum (East)",12878,5820,5506,16,11,88,1370,61,0,6
50,5,48,"Rolpa",52206,24704,21756,117,125,1266,3746,282,6,204
50,5,49,"Pyuthan",56195,22750,27305,436,855,1151,3387,244,28,39
50,5,50,"Gulmi",66100,36587,26311,62,276,738,1744,300,12,70
50,5,51,"Arghakhanchi",48449,23439,19756,674,590,1064,1947,532,421,26
50,5,52,"Palpa",64991,35504,22316,1176,671,1641,3450,136,34,63
50,5,53,"Nawalparasi (Bardaghat Susta West)",82709,25427,9843,42599,281,632,1617,140,1781,389
50,5,54,"Rupandehi",238171,112775,29755,90440,187,658,2033,19,1259,1045
50,5,55,"Kapilbastu",121861,25777,12086,79582,240,559,894,78,992,1653
50,5,56,"Dang",162266,65480,25618,19681,25926,16610,4671,2566,504,1210
50,5,57,"Banke",129234,33133,13694,65745,450,1211,4185,33,9396,1387
50,5,58,"Bardiya",106285,20086,9922,73812,168,541,556,41,695,464
50,6,59,"Dolpa",9380,3171,4249,4,17,152,1413,363,0,11
50,6,60,"Mugu",12430,2104,5675,2,3,43,4241,350,1,11
50,6,61,"Humla",11204,2223,7157,2,3,20,1555,85,0,159
50,6,62,"Jumla",24422,9885,10328,2,15,44,3874,214,0,60
50,6,63,"Kalikot",26770,6293,13595,1,42,237,6360,225,1,16
50,6,64,"Dailekh",54594,18644,24756,99,530,1249,8921,299,21,75
50,6,65,"Jajarkot",37453,13127,18273,78,64,380,5037,352,21,121
50,6,66,"Rukum (West)",37290,15143,18973,29,19,298,2607,195,8,18
50,6,67,"Salyan",54672,20003,25985,104,697,1688,5384,723,6,82
50,6,68,"Surkhet",97822,39770,33460,1632,6180,5082,9283,1468,422,525
50,7,69,"Bajura",28041,5349,19696,6,39,98,2627,172,7,47
50,7,70,"Bajhang",38025,9432,23374,3,412,513,3857,349,0,85
50,7,71,"Darchula",28381,13975,12605,3,130,269,1155,194,5,45
50,7,72,"Baitadi",49407,10663,30547,96,542,1881,4786,823,22,47
50,7,73,"Dadeldhura",31172,14208,12274,260,748,758,2298,553,21,52
50,7,74,"Doti",45140,11457,23071,100,496,1738,6335,1837,43,63
50,7,75,"Achham",49567,7514,31085,362,402,979,8514,601,44,66
50,7,76,"Kailali",195872,35023,25489,125842,430,1305,4895,807,996,1085
50,7,77,"Kanchanpur",111167,14068,7542,87357,178,358,1004,70,136,454
