area,prov,dist,area_name,rowtotal,a_FlushToilet1,b_FlushToilet2,c_Ordinary,d_Public,e_NoToilet
10,0,0,"Nepal",6660841,653710,3667780,2005480,32381,301490
21,0,0,"Urban Munipalities",4474699,593401,2443115,1246732,20636,170815
22,0,0,"Rural Municipalities",2186142,60309,1224665,758748,11745,130675
31,0,0,"Mountain",409260,3913,283359,112362,1394,8232
32,0,0,"Hill",2945030,564382,1747104,581754,9041,42749
33,0,0,"Tarai",3306551,85415,1637317,1311364,21946,250509
40,1,0,"Province-1",1190755,26542,726577,394698,5362,37576
40,2,0,"Madhesh",1156383,31159,414032,561660,10322,139210
40,3,0,"Bagmati",1567917,512026,777874,253515,5031,19471
40,4,0,"Gandaki",661632,18456,501855,132898,2131,6292
40,5,0,"Lumbini",1141345,45867,668730,357955,4763,64030
40,6,0,"Karnali",366037,8149,220226,126779,1287,9596
40,7,0,"Sudur Paschim",576772,11511,358486,177975,3485,25315
50,1,1,"Taplejung",27776,265,20166,6781,72,492
50,1,2,"Sankhuwasabha",39118,231,27874,10298,141,574
50,1,3,"Solukhumbu",26239,536,21897,3190,155,461
50,1,4,"Okhaldhunga",34286,1426,25548,6649,212,451
50,1,5,"Khotang",41720,1291,25715,13556,153,1005
50,1,6,"Bhojpur",38580,1060,22806,13861,110,743
50,1,7,"Dhankuta",37616,806,26821,9396,83,510
50,1,8,"Terhathum",21845,587,16867,3987,37,367
50,1,9,"Panchthar",42437,1486,31937,8436,98,480
50,1,10,"Ilam",70501,2007,51571,15548,206,1169
50,1,11,"Jhapa",245019,2531,147698,87257,1042,6491
50,1,12,"Morang",272160,6782,147716,102574,1440,13648
50,1,13,"Sunsari",212407,5826,119287,77470,1219,8605
50,1,14,"Udayapur",81051,1708,40674,35695,394,2580
50,2,15,"Saptari",146816,3390,37798,84826,1983,18819
50,2,16,"Siraha",148549,3697,53035,76709,1419,13689
50,2,17,"Dhanusa",177091,4196,74968,74249,1357,22321
50,2,18,"Mahottari",137886,3310,40230,72151,947,21248
50,2,19,"Sarlahi",164824,3774,60360,84182,1509,14999
50,2,20,"Rautahat",137025,3697,48141,65402,1238,18547
50,2,21,"Bara",131179,4272,45326,68654,960,11967
50,2,22,"Parsa",113013,4823,54174,35487,909,17620
50,3,23,"Dolakha",49493,150,37021,11893,70,359
50,3,24,"Sindhupalchok",71697,864,59405,10602,212,614
50,3,25,"Rasuwa",11131,134,7485,3168,59,285
50,3,26,"Dhading",83622,1497,53142,26287,420,2276
50,3,27,"Nuwakot",68646,2131,50129,15036,278,1072
50,3,28,"Kathmandu",542892,362609,126861,51543,1305,574
50,3,29,"Bhaktapur",108406,58789,40633,8590,178,216
50,3,30,"Lalitpur",140130,63634,60740,15222,247,287
50,3,31,"Kavrepalanchok",91330,12875,60474,15749,337,1895
50,3,32,"Ramechhap",46466,1544,36783,7278,85,776
50,3,33,"Sindhuli",69317,806,51015,14964,274,2258
50,3,34,"Makwanpur",105620,3225,69575,25979,618,6223
50,3,35,"Chitawan",179167,3768,124611,47204,948,2636
50,4,36,"Gorkha",71729,3244,51858,15171,504,952
50,4,37,"Manang",1547,31,1453,27,8,28
50,4,38,"Mustang",3606,40,2657,656,40,213
50,4,39,"Myagdi",28766,777,22055,5381,96,457
50,4,40,"Kaski",160416,2635,143848,13110,369,454
50,4,41,"Lamjung",44074,1532,33432,8678,130,302
50,4,42,"Tanahu",88513,2041,63477,21848,260,887
50,4,43,"Nawalparasi (Bardaghat Susta East)",93850,2532,67252,22673,239,1154
50,4,44,"Syangja",68923,2611,50330,15118,200,664
50,4,45,"Parbat",36112,1155,18229,16294,118,316
50,4,46,"Baglung",64096,1858,47264,13942,167,865
50,5,47,"Rukum (East)",12878,654,5955,5502,22,745
50,5,48,"Rolpa",52206,3359,37352,10323,99,1073
50,5,49,"Pyuthan",56195,2739,42334,10047,143,932
50,5,50,"Gulmi",66100,2427,56043,6819,110,701
50,5,51,"Arghakhanchi",48449,2432,40566,4846,76,529
50,5,52,"Palpa",64991,7323,50125,6938,131,474
50,5,53,"Nawalparasi (Bardaghat Susta West)",82709,2932,29427,46188,524,3638
50,5,54,"Rupandehi",238171,7043,147514,73879,878,8857
50,5,55,"Kapilbastu",121861,4277,49653,40380,718,26833
50,5,56,"Dang",162266,4923,108992,43438,678,4235
50,5,57,"Banke",129234,3714,54009,58398,825,12288
50,5,58,"Bardiya",106285,4044,46760,51197,559,3725
50,6,59,"Dolpa",9380,185,4234,4132,78,751
50,6,60,"Mugu",12430,25,3117,8511,92,685
50,6,61,"Humla",11204,58,1592,8899,54,601
50,6,62,"Jumla",24422,332,12603,10744,94,649
50,6,63,"Kalikot",26770,159,21632,3959,92,928
50,6,64,"Dailekh",54594,1894,24056,27323,201,1120
50,6,65,"Jajarkot",37453,1320,20626,14337,104,1066
50,6,66,"Rukum (West)",37290,1036,21492,14079,143,540
50,6,67,"Salyan",54672,1436,38832,13238,83,1083
50,6,68,"Surkhet",97822,1704,72042,21557,346,2173
50,7,69,"Bajura",28041,426,18529,8539,89,458
50,7,70,"Bajhang",38025,126,24590,12409,95,805
50,7,71,"Darchula",28381,351,19104,8554,43,329
50,7,72,"Baitadi",49407,931,28335,19266,245,630
50,7,73,"Dadeldhura",31172,1167,24622,4785,82,516
50,7,74,"Doti",45140,1744,26636,15033,205,1522
50,7,75,"Achham",49567,882,36304,10343,172,1866
50,7,76,"Kailali",195872,4235,95818,79875,1934,14010
50,7,77,"Kanchanpur",111167,1649,84548,19171,620,5179
