District,Province,Vuln Score,Demo,Migration,Infra,Economic,Cluster
Achham,Sudurpashchim,67.4,39.47,92.51,57.8,87.72,0
Doti,Sudurpashchim,63.13,34.12,92.22,49.6,86.3,0
Gorkha,Gandaki,58.74,96.2,53.8,30.3,58.44,2
Dailekh,Karnali,57.72,30.53,49.21,60.95,81.41,3
Ramechhap,Bagmati,57.31,96.4,32.07,23.85,70.81,2
Khotang,Koshi,56.37,68.5,46.05,33.02,74.76,2
Baitadi,Sudurpashchim,56.36,42.19,59.87,48.1,74.69,0
Bajhang,Sudurpashchim,55.61,37.97,76.87,43.69,71.6,0
Mugu,Karnali,55.17,15.28,6.27,76.29,91.73,3
Kalikot,Karnali,54.48,21.83,17.63,69.05,85.55,3
Okhaldhunga,Koshi,54.32,75.53,32.28,32.05,69.93,2
Myagdi,Gandaki,54.27,71.75,65.88,24.41,63.77,2
Bajura,Sudurpashchim,53.58,32.99,48.17,37.33,89.71,0
Pyuthan,Lumbini,52.41,40.3,98.06,25.22,66.87,0
Bhojpur,Koshi,52.16,68.26,39.49,34.82,62.42,2
